t (us),V (arb.u.)
0,1.0745
0.01,0.99225
0.02,1.0094
0.03,1.0024
0.04,0.99846
0.05,0.99883
0.06,0.99282
0.07,0.94771
0.08,0.96085
0.09,0.98678
0.1,0.86326
0.11,0.95982
0.12,1.0073
0.13,0.93588
0.14,0.93692
0.15,0.86354
0.16,0.91146
0.17,0.88773
0.18,0.94745
0.19,0.87862
0.2,0.82343
0.21,0.86324
0.22,0.91014
0.23,0.8311
0.24,0.8794
0.25,0.89637
0.26,0.87713
0.27,0.87803
0.28,0.81884
0.29,0.81772
0.3,0.73905
0.31,0.89086
0.32,0.80018
0.33,0.86047
0.34,0.81505
0.35,0.7506
0.36,0.81977
0.37,0.79974
0.38,0.74654
0.39,0.75727
0.4,0.6851
0.41,0.70155
0.42,0.67779
0.43,0.74046
0.44,0.78432
0.45,0.70572
0.46,0.76826
0.47,0.77459
0.48,0.66074
0.49,0.68399
0.5,0.69163
0.51,0.71824
0.52,0.72164
0.53,0.67377
0.54,0.67898
0.55,0.73841
0.56,0.66983
0.57,0.626
0.58,0.76636
0.59,0.62588
0.6,0.61449
0.61,0.62418
0.62,0.69805
0.63,0.64298
0.64,0.63121
0.65,0.74624
0.66,0.6672
0.67,0.6654
0.68,0.70656
0.69,0.66944
0.7,0.71794
0.71,0.50396
0.72,0.69234
0.73,0.58719
0.74,0.68458
0.75,0.64662
0.76,0.73606
0.77,0.63576
0.78,0.58961
0.79,0.62692
0.8,0.62783
0.81,0.76929
0.82,0.74752
0.83,0.59434
0.84,0.59923
0.85,0.69159
0.86,0.69452
0.87,0.63181
0.88,0.68641
0.89,0.68888
0.9,0.5583
0.91,0.61003
0.92,0.73451
0.93,0.70552
0.94,0.63783
0.95,0.74842
0.96,0.64002
0.97,0.56926
0.98,0.64078
0.99,0.57069
1,0.65487
1.01,0.639
1.02,0.67992
1.03,0.70789
1.04,0.64646
1.05,0.65641
1.06,0.57596
1.07,0.62677
1.08,0.6323
1.09,0.5494
1.1,0.62972
1.11,0.70322
1.12,0.63056
1.13,0.69896
1.14,0.67848
1.15,0.65107
1.16,0.60214
1.17,0.69345
1.18,0.70861
1.19,0.6269
1.2,0.65979
1.21,0.58662
1.22,0.66602
1.23,0.57218
1.24,0.59148
1.25,0.66896
1.26,0.60361
1.27,0.74454
1.28,0.65457
1.29,0.62614
1.3,0.72817
1.31,0.66193
1.32,0.55088
1.33,0.53442
1.34,0.62667
1.35,0.65266
1.36,0.58977
1.37,0.58141
1.38,0.66541
1.39,0.57805
1.4,0.69461
1.41,0.57067
1.42,0.6149
1.43,0.66654
1.44,0.68276
1.45,0.5743
1.46,0.56994
1.47,0.59901
1.48,0.62511
1.49,0.63854
1.5,0.57192
1.51,0.52091
1.52,0.6219
1.53,0.62676
1.54,0.64866
1.55,0.66836
1.56,0.65252
1.57,0.64984
1.58,0.56755
1.59,0.49943
1.6,0.62572
