t (us),V (arb.u.)
0,1.0298
0.01,0.99662
0.02,1.002
0.03,0.99666
0.04,0.99138
0.05,0.98673
0.06,0.97847
0.07,0.95357
0.08,0.95101
0.09,0.95265
0.1,0.89368
0.11,0.92197
0.12,0.92991
0.13,0.88967
0.14,0.87785
0.15,0.83577
0.16,0.84182
0.17,0.81886
0.18,0.82903
0.19,0.78759
0.2,0.7515
0.21,0.75335
0.22,0.75806
0.23,0.71246
0.24,0.71794
0.25,0.71106
0.26,0.68993
0.27,0.67714
0.28,0.64062
0.29,0.62768
0.3,0.5841
0.31,0.63312
0.32,0.58557
0.33,0.59885
0.34,0.5703
0.35,0.53462
0.36,0.55286
0.37,0.5359
0.38,0.50615
0.39,0.50246
0.4,0.46608
0.41,0.46563
0.42,0.44956
0.43,0.46852
0.44,0.48039
0.45,0.44372
0.46,0.46393
0.47,0.46206
0.48,0.41251
0.49,0.41818
0.5,0.41798
0.51,0.42571
0.52,0.42449
0.53,0.40308
0.54,0.40322
0.55,0.42532
0.56,0.3965
0.57,0.37784
0.58,0.43311
0.59,0.37627
0.6,0.3713
0.61,0.37496
0.62,0.40449
0.63,0.38264
0.64,0.37828
0.65,0.42481
0.66,0.39387
0.67,0.39398
0.68,0.41141
0.69,0.39767
0.7,0.41831
0.71,0.33407
0.72,0.4109
0.73,0.37043
0.74,0.41108
0.75,0.39769
0.76,0.43536
0.77,0.39723
0.78,0.38085
0.79,0.39793
0.8,0.40054
0.81,0.45945
0.82,0.45314
0.83,0.39433
0.84,0.39881
0.85,0.43835
0.86,0.44217
0.87,0.41978
0.88,0.44437
0.89,0.44815
0.9,0.39874
0.91,0.42229
0.92,0.47497
0.93,0.46628
0.94,0.44212
0.95,0.48929
0.96,0.44887
0.97,0.42349
0.98,0.45503
0.99,0.4299
1,0.46645
1.01,0.46297
1.02,0.48216
1.03,0.49613
1.04,0.4743
1.05,0.48097
1.06,0.45143
1.07,0.47433
1.08,0.47905
1.09,0.44832
1.1,0.4828
1.11,0.51448
1.12,0.48761
1.13,0.51707
1.14,0.51089
1.15,0.50184
1.16,0.48409
1.17,0.52233
1.18,0.53001
1.19,0.49883
1.2,0.51339
1.21,0.48542
1.22,0.51837
1.23,0.48191
1.24,0.4906
1.25,0.52246
1.26,0.49708
1.27,0.5541
1.28,0.51866
1.29,0.50774
1.3,0.54889
1.31,0.52264
1.32,0.47837
1.33,0.47184
1.34,0.50871
1.35,0.51898
1.36,0.49361
1.37,0.48998
1.38,0.52321
1.39,0.48782
1.4,0.53393
1.41,0.48377
1.42,0.50082
1.43,0.52078
1.44,0.52651
1.45,0.48232
1.46,0.47973
1.47,0.49047
1.48,0.49997
1.49,0.50439
1.5,0.47675
1.51,0.45533
1.52,0.49469
1.53,0.49558
1.54,0.50327
1.55,0.51009
1.56,0.50267
1.57,0.50052
1.58,0.46654
1.59,0.43822
1.6,0.48768
1.61,0.4507
1.62,0.47366
1.63,0.51263
1.64,0.47455
1.65,0.47095
1.66,0.48918
1.67,0.41975
1.68,0.42252
1.69,0.48234
1.7,0.43661
1.71,0.4392
1.72,0.46687
1.73,0.45923
1.74,0.46666
1.75,0.45161
1.76,0.44782
1.77,0.47175
1.78,0.42646
1.79,0.45776
1.8,0.46179
1.81,0.46219
1.82,0.39609
1.83,0.45256
1.84,0.46622
1.85,0.45567
1.86,0.45471
1.87,0.4377
1.88,0.46623
1.89,0.45371
1.9,0.42944
1.91,0.44191
1.92,0.46071
1.93,0.46
1.94,0.44767
1.95,0.43577
1.96,0.4236
1.97,0.46144
1.98,0.43374
1.99,0.48134
2,0.47091
2.01,0.42749
2.02,0.42199
2.03,0.44053
2.04,0.41773
2.05,0.41935
2.06,0.38688
2.07,0.42851
2.08,0.41883
2.09,0.45681
2.1,0.44297
2.11,0.44209
2.12,0.45014
2.13,0.39166
2.14,0.44489
2.15,0.43549
2.16,0.46268
2.17,0.42742
2.18,0.45882
2.19,0.43511
2.2,0.45966
2.21,0.44875
2.22,0.39889
2.23,0.41157
2.24,0.43061
2.25,0.43743
2.26,0.41294
2.27,0.42369
2.28,0.42893
2.29,0.41634
2.3,0.41375
2.31,0.43328
2.32,0.45835
2.33,0.43529
2.34,0.4292
2.35,0.47653
2.36,0.43437
2.37,0.46171
2.38,0.43577
2.39,0.45294
2.4,0.44961
2.41,0.42054
2.42,0.44304
2.43,0.45014
2.44,0.48038
2.45,0.42041
2.46,0.40106
2.47,0.44143
2.48,0.46153
2.49,0.47298
2.5,0.43213
2.51,0.44777
2.52,0.47283
2.53,0.43402
2.54,0.44385
2.55,0.46868
2.56,0.43409
2.57,0.43376
2.58,0.4769
2.59,0.43658
2.6,0.41859
2.61,0.42882
2.62,0.44297
2.63,0.43562
2.64,0.4198
2.65,0.43876
2.66,0.4539
2.67,0.43188
2.68,0.45314
2.69,0.4172
2.7,0.45121
2.71,0.4401
2.72,0.43272
2.73,0.46757
2.74,0.42132
2.75,0.44364
2.76,0.4761
2.77,0.43766
2.78,0.42624
2.79,0.43473
2.8,0.49855
